decade,nominal,measured
0.01,0.06,0.066848
0.01,0.06,0.066566
0.01,0.06,0.066668
0.01,0.06,0.066411
0.01,0.06,0.066771
0.01,0.06,0.066694
0.01,0.06,0.06654
0.01,0.06,0.066463
0.01,0.06,0.066694
0.01,0.06,0.066771
0.01,0.06,0.066771
0.01,0.06,0.066899
0.01,0.06,0.06672
0.01,0.06,0.066951
0.01,0.06,0.066437
0.01,0.06,0.066694
0.01,0.06,0.066694
0.01,0.06,0.066411
0.01,0.06,0.066899
0.01,0.06,0.066386
0.01,0.06,0.066977
0.01,0.06,0.066977
0.01,0.06,0.06654
0.01,0.06,0.066771
0.01,0.06,0.066745
0.01,0.06,0.066797
0.01,0.06,0.06654
0.01,0.06,0.066745
0.01,0.06,0.066848
0.01,0.06,0.066822
0.01,0.06,0.066797
0.01,0.06,0.066797
0.01,0.06,0.066848
0.01,0.06,0.066694
0.01,0.06,0.066797
0.01,0.06,0.066617
0.01,0.06,0.066411
0.01,0.07,0.076583
0.01,0.07,0.07684
0.01,0.07,0.076686
0.01,0.07,0.073732
0.01,0.07,0.076583
0.01,0.07,0.077046
0.01,0.07,0.076968
0.01,0.07,0.076583
0.01,0.07,0.076712
0.01,0.07,0.07702
0.01,0.07,0.076789
0.01,0.07,0.076403
0.01,0.07,0.076557
0.01,0.07,0.076712
0.01,0.07,0.076968
0.01,0.07,0.076712
0.01,0.07,0.07684
0.01,0.07,0.07684
0.01,0.07,0.076891
0.01,0.07,0.076737
0.01,0.07,0.076789
0.01,0.07,0.076635
0.01,0.07,0.076596
0.01,0.07,0.076712
0.01,0.07,0.076943
0.01,0.07,0.076866
0.01,0.07,0.076532
0.01,0.07,0.076609
0.01,0.07,0.076635
0.01,0.07,0.077071
0.01,0.07,0.077071
0.01,0.07,0.076635
0.01,0.07,0.076789
0.01,0.07,0.076712
0.01,0.07,0.076686
0.01,0.07,0.076609
0.01,0.07,0.076814
0.01,0.07,0.076763
0.01,0.07,0.076763
0.01,0.07,0.076455
0.01,0.07,0.076699
0.01,0.07,0.076557
0.01,0.07,0.076891
0.01,0.07,0.077251
0.01,0.07,0.076891
0.01,0.07,0.07666
0.01,0.07,0.076789
0.01,0.07,0.077071
0.01,0.07,0.07684
0.01,0.07,0.076866
0.01,0.07,0.077431
0.01,0.07,0.07684
0.01,0.07,0.07648
0.01,0.07,0.077123
0.01,0.07,0.076532
0.01,0.07,0.076814
0.01,0.07,0.077097
0.01,0.07,0.076917
0.01,0.07,0.076943
0.01,0.07,0.076763
0.01,0.07,0.07666
0.01,0.07,0.076635
0.01,0.07,0.076866
0.01,0.07,0.076429
0.01,0.07,0.076506
0.01,0.07,0.076763
0.01,0.07,0.076814
0.01,0.07,0.076891
0.01,0.07,0.076994
0.01,0.07,0.076763
0.01,0.07,0.07666
0.01,0.07,0.076686
0.01,0.07,0.076789
0.01,0.07,0.076763
0.01,0.07,0.076917
0.01,0.07,0.076583
0.01,0.07,0.076789
0.01,0.07,0.076789
0.01,0.07,0.076686
0.01,0.07,0.07693
0.01,0.07,0.076609
0.01,0.07,0.076994
0.01,0.07,0.076506
0.01,0.07,0.07666
0.01,0.07,0.076814
0.01,0.07,0.076609
0.01,0.07,0.076814
0.01,0.07,0.076712
0.01,0.07,0.076763
0.01,0.07,0.077379
0.01,0.07,0.076429
0.01,0.07,0.076866
0.01,0.07,0.076866
0.01,0.07,0.076763
0.01,0.07,0.076403
0.01,0.07,0.07684
0.01,0.07,0.07666
0.01,0.07,0.076763
0.01,0.07,0.076917
0.01,0.07,0.07648
0.01,0.08,0.086652
0.01,0.08,0.086883
0.01,0.08,0.086678
0.01,0.08,0.086755
0.01,0.08,0.086652
0.01,0.08,0.086755
0.01,0.08,0.086781
0.01,0.08,0.086703
0.01,0.08,0.086472
0.01,0.08,0.086626
0.01,0.08,0.086755
0.01,0.08,0.086832
0.01,0.08,0.086601
0.01,0.08,0.086524
0.01,0.08,0.086601
0.01,0.08,0.086601
0.01,0.08,0.086601
0.01,0.08,0.086524
0.01,0.08,0.086781
0.01,0.08,0.086447
0.01,0.08,0.086703
0.01,0.08,0.086626
0.01,0.08,0.08696
0.01,0.08,0.086524
0.01,0.08,0.086858
0.01,0.08,0.086575
0.01,0.08,0.08637
0.01,0.08,0.086883
0.01,0.08,0.086806
0.01,0.08,0.086858
0.01,0.08,0.086652
0.01,0.08,0.086639
0.01,0.08,0.086215
0.01,0.08,0.086421
0.01,0.08,0.086601
0.01,0.08,0.086703
0.01,0.08,0.086806
0.01,0.08,0.086421
0.01,0.08,0.086703
0.01,0.08,0.086909
0.01,0.08,0.086562
0.01,0.08,0.086447
0.01,0.08,0.086524
0.01,0.08,0.086652
0.01,0.08,0.086703
0.01,0.08,0.086652
0.01,0.08,0.086678
0.01,0.08,0.086601
0.01,0.08,0.086241
0.01,0.08,0.086832
0.01,0.08,0.086703
0.01,0.08,0.086241
0.01,0.08,0.086678
0.01,0.08,0.086575
0.01,0.08,0.087089
0.01,0.08,0.086858
0.01,0.08,0.086575
0.01,0.08,0.088707
0.01,0.08,0.086986
0.01,0.08,0.086626
0.01,0.08,0.086549
0.01,0.08,0.086447
0.01,0.08,0.086729
0.01,0.08,0.086832
0.01,0.08,0.086703
0.01,0.08,0.086318
0.01,0.08,0.086395
0.01,0.08,0.086601
0.01,0.08,0.086781
0.01,0.08,0.086498
0.01,0.08,0.086344
0.01,0.08,0.086524
0.01,0.08,0.086601
0.01,0.08,0.086575
0.01,0.08,0.086678
0.01,0.08,0.086678
0.01,0.08,0.086806
0.01,0.08,0.08637
0.01,0.08,0.086755
0.01,0.08,0.086575
0.01,0.08,0.086215
0.01,0.08,0.086524
0.01,0.08,0.086626
0.01,0.08,0.086524
0.01,0.08,0.086678
0.01,0.08,0.087063
0.01,0.08,0.086703
0.01,0.08,0.086601
0.01,0.08,0.086241
0.01,0.08,0.086626
0.01,0.08,0.086447
0.01,0.08,0.08696
0.01,0.08,0.086832
0.01,0.08,0.086703
0.01,0.08,0.086626
0.01,0.08,0.086549
0.01,0.08,0.08696
0.01,0.08,0.086858
0.01,0.08,0.086472
0.01,0.08,0.086601
0.01,0.09,0.096721
0.01,0.09,0.096978
0.01,0.09,0.096695
0.01,0.09,0.096541
0.01,0.09,0.096105
0.01,0.09,0.096567
0.01,0.09,0.096952
0.01,0.09,0.09631
0.01,0.09,0.096464
0.01,0.09,0.096284
0.01,0.09,0.096901
0.01,0.09,0.096567
0.01,0.09,0.096516
0.01,0.09,0.096644
0.01,0.09,0.09667
0.01,0.09,0.09649
0.01,0.09,0.096207
0.01,0.09,0.096413
0.01,0.09,0.096541
0.01,0.09,0.096567
0.01,0.09,0.096516
0.01,0.09,0.096464
0.01,0.09,0.096541
0.01,0.09,0.096849
0.01,0.09,0.09649
0.01,0.09,0.099547
0.01,0.09,0.096156
0.01,0.09,0.09667
0.01,0.09,0.096721
0.01,0.09,0.096618
0.01,0.09,0.096336
0.01,0.09,0.096516
0.01,0.09,0.09658
0.01,0.09,0.097055
0.01,0.09,0.096156
0.01,0.09,0.096695
0.01,0.09,0.096516
0.01,0.09,0.09667
0.01,0.09,0.096978
0.01,0.09,0.096464
0.01,0.09,0.096593
0.01,0.09,0.096182
0.01,0.09,0.096387
0.01,0.09,0.096927
0.01,0.09,0.096824
0.01,0.09,0.096439
0.01,0.09,0.096695
0.01,0.09,0.096695
0.01,0.09,0.096439
0.01,0.09,0.096824
0.01,0.09,0.096644
0.01,0.09,0.096593
0.01,0.09,0.096439
0.01,0.09,0.096413
0.01,0.09,0.09667
0.01,0.09,0.096336
0.01,0.09,0.096464
0.01,0.09,0.097055
0.01,0.09,0.096695
0.01,0.09,0.096567
0.01,0.09,0.096593
0.01,0.09,0.096516
0.01,0.09,0.096644
